PTPP,2023-01-17,625,640,615,620,17551700
PTPW,2023-01-17,880,905,880,895,447100
PYFA,2023-01-17,855,895,855,870,5200
PTRO,2023-01-17,4140,4150,4120,4140,1284000
RAJA,2023-01-17,1125,1145,1110,1120,14650500
RMKE,2023-01-17,845,875,840,850,5647100
RALS,2023-01-17,650,685,645,685,26314100
SIDO,2023-01-17,725,735,720,725,5495500
SIMP,2023-01-17,410,414,408,410,566100
SLIS,2023-01-17,252,266,248,264,81873000
SMSM,2023-01-17,1505,1545,1485,1500,2937200
SQMI,2023-01-17,71,73,67,69,37491000
SRTG,2023-01-17,2360,2460,2350,2430,21499400
SMCB,2023-01-17,1390,1395,1390,1395,1290100
TAPG,2023-01-17,625,640,620,625,4903200
TCPI,2023-01-17,8025,8050,7800,8000,14405800
TECH,2023-01-17,2410,2410,2400,2400,102600
TINS,2023-01-17,1240,1300,1230,1295,64870300
TMAS,2023-01-17,2380,2400,2370,2370,557400
TNCA,2023-01-17,270,302,262,282,1681400
TOYS,2023-01-17,67,67,65,65,2947200
TOWR,2023-01-17,1150,1155,1130,1140,27299100
TRIS,2023-01-17,234,234,220,226,5331200
TRJA,2023-01-17,230,234,230,232,643100
UFOE,2023-01-17,212,220,208,212,25306800
UNSP,2023-01-17,130,130,128,128,8000
UNVR,2023-01-17,4770,4800,4720,4760,12333700
WEHA,2023-01-17,110,116,109,113,17012400
VOKS,2023-01-17,130,135,130,134,40200
WOOD,2023-01-17,332,336,332,336,1439000
WSKT,2023-01-17,294,304,294,296,23943300
ZYRX,2023-01-17,310,320,308,310,1137200
YELO,2023-01-17,61,61,58,59,12518700
