Emiten,Tanggal,Close,Change(%),Total Trx (Bio),Harga Beli,Take Profit,Cutloss
MLIA,17/01/2023,575,7.5,10153235456.0,575,600,550
HRUM,17/01/2023,1730,2.1,35162767360.0,1730,1785,1675
